NC_000913.3_0_0/1	NC_000913.3	5	301	6.17e-151
NC_000913.3_1_0/1	NC_000913.3	3	301	2.85e-154
NC_000913.3_2_0/1	NC_000913.3	9	301	2.89e-144
NC_000913.3_3_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_4_0/1	NC_000913.3	5	301	6.17e-151
NC_000913.3_4_0/1	NC_000913.3	6	289	1.34e-142
NC_000913.3_4_0/1	NC_000913.3	6	287	1.74e-141
NC_000913.3_4_0/1	NC_000913.3	6	286	6.25e-141
NC_000913.3_4_0/1	NC_000913.3	6	286	6.25e-141
NC_000913.3_4_0/1	NC_000913.3	6	286	6.25e-141
NC_000913.3_4_0/1	NC_000913.3	6	286	6.25e-141
NC_000913.3_4_0/1	NC_000913.3	8	296	6.25e-141
NC_000913.3_4_0/1	NC_000913.3	6	286	6.25e-141
NC_000913.3_4_0/1	NC_000913.3	6	285	2.25e-140
NC_000913.3_4_0/1	NC_000913.3	7	285	1.05e-138
NC_000913.3_4_0/1	NC_000913.3	41	285	5.34e-72
NC_000913.3_5_0/1	NC_000913.3	5	300	2.22e-150
NC_000913.3_6_0/1	NC_000913.3	0	301	2.83e-159
NC_000913.3_7_0/1	NC_000913.3	12	301	2.91e-139
NC_000913.3_8_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_9_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_10_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_11_0/1	NC_000913.3	3	301	2.85e-154
NC_000913.3_12_0/1	NC_000913.3	3	301	2.85e-154
NC_000913.3_13_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_14_0/1	NC_000913.3	1	299	1.70e-156
NC_000913.3_15_0/1	NC_000913.3	9	301	2.89e-144
NC_000913.3_16_0/1	NC_000913.3	1	301	2.20e-155
NC_000913.3_17_0/1	NC_000913.3	0	301	2.83e-159
NC_000913.3_18_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_19_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_20_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_21_0/1	NC_000913.3	4	301	1.33e-152
NC_000913.3_22_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_23_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_24_0/1	NC_000913.3	0	301	4.73e-157
NC_000913.3_25_0/1	NC_000913.3	4	301	1.33e-152
NC_000913.3_26_0/1	NC_000913.3	1	298	6.12e-156
NC_000913.3_27_0/1	NC_000913.3	7	298	6.21e-146
NC_000913.3_28_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_29_0/1	NC_000913.3	0	301	2.83e-159
NC_000913.3_30_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_31_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_32_0/1	NC_000913.3	0	301	4.73e-157
NC_000913.3_33_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_34_0/1	NC_000913.3	7	301	1.33e-147
NC_000913.3_35_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_36_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_37_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_38_0/1	NC_000913.3	1	298	6.12e-156
NC_000913.3_39_0/1	NC_000913.3	3	301	2.85e-154
NC_000913.3_40_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_41_0/1	NC_000913.3	13	301	1.35e-137
NC_000913.3_42_0/1	NC_000913.3	3	301	2.85e-154
NC_000913.3_43_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_44_0/1	NC_000913.3	4	301	1.33e-152
NC_000913.3_45_0/1	NC_000913.3	6	301	2.87e-149
NC_000913.3_46_0/1	NC_000913.3	3	301	2.85e-154
NC_000913.3_47_0/1	NC_000913.3	4	301	1.33e-152
NC_000913.3_48_0/1	NC_000913.3	4	301	1.33e-152
NC_000913.3_49_0/1	NC_000913.3	0	301	2.83e-159
NC_000913.3_50_0/1	NC_000913.3	1	301	2.20e-155
NC_000913.3_51_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_52_0/1	NC_000913.3	3	300	1.71e-151
NC_000913.3_53_0/1	NC_000913.3	1	301	1.32e-157
NC_000913.3_54_0/1	NC_000913.3	2	301	6.12e-156
NC_000913.3_55_0/1	NC_000913.3	3	301	4.77e-152
NC_000913.3_55_0/1	NC_000913.3	4	48	5.81e-12
NC_000913.3_55_0/1	NC_000913.3	0	35	2.09e-11
NC_000913.3_55_0/1	NC_000913.3	4	46	7.52e-11
NC_000913.3_55_0/1	NC_000913.3	1	41	7.52e-11
NC_000913.3_55_0/1	NC_000913.3	1	41	7.52e-11
NC_000913.3_55_0/1	NC_000913.3	1	37	7.52e-11
NC_000913.3_55_0/1	NC_000913.3	1	37	7.52e-11
NC_000913.3_55_0/1	NC_000913.3	1	37	7.52e-11
